Name,Text
Joke_1.wav,"""In my career as a lumberjack I cut down exactly 52,487 trees. I know because I kept a log."""
Joke_2.wav,"""What do you call a troublesome Canadian high schooler? A poutine."""
Joke_3.wav,"""What do you call someone with no nose? Nobody knows."""
Joke_4.wav,"""I’ll tell you something about German sausages, they’re the wurst"""
Joke_5.wav,"""Why can't a bicycle stand on its own? It's two-tired."""
Joke_6.wav,"""Someone broke into my house last night and stole my limbo trophy. How low can you go?"""
Joke_7.wav,"""Why couldn't the kid see the pirate movie? Because it was rated arrr!"""
Joke_8.wav,"""Did you hear about the chameleon who couldn't change color? They had a reptile dysfunction."""
Joke_10.wav,"""How does Darth Vader like his toast? On the dark side."""
Joke_11.wav,"""Why do we tell actors to “break a leg?” Because every play has a cast."""
Joke_12.wav,"""I had a rough day, and then somebody went and ripped the front and back pages from my dictionary. It just goes from bad to worse."""
Joke_13.wav,"""My dentist is the best, he even has a little plaque!"""
Joke_14.wav,"""Why did the kid throw the clock out the window? He wanted to see time fly!"""
Joke_15.wav,"""What do you call a group of disorganized cats? A cat-tastrophe."""
Joke_16.wav,"""You know what they say about cliffhangers..."""
Joke_17.wav,"""What did the pirate say on his 80th birthday? Aye Matey!"""
Joke_18.wav,"""I used to be addicted to soap, but I'm clean now."""
Joke_19.wav,"""I burned 2000 calories today, I left my food in the oven for too long."""
Joke_20.wav,"""How do you make a hankie dance? Put a little boogie in it."""
Joke_21.wav,"""It's only a murder of crows if there's probable caws."""
Joke_22.wav,"""What has a bed that you can’t sleep in? A river."""
Joke_23.wav,"""What's orange and sounds like a parrot? A Carrot."""
Joke_24.wav,"""My first time using an elevator was an uplifting experience. The second time let me down."""
Joke_25.wav,"""I made a playlist for hiking. It has music from Peanuts, The Cranberries, and Eminem. I call it my Trail Mix."""
Joke_27.wav,"""In the news a courtroom artist was arrested today, I'm not surprised, he always seemed sketchy."""
Joke_28.wav,"""What did Michael Jackson name his denim store?    Billy Jeans!"""
Joke_29.wav,"""I boiled a funny bone last night and had a laughing stock"""
Joke_30.wav,"""Did you hear about the guy who invented Lifesavers? They say he made a mint."""
Joke_31.wav,"""You can't run through a camp site. You can only ran, because it's past tents."""
Joke_32.wav,"""A man got hit in the head with a can of Coke, but he was alright because it was a soft drink."""
Joke_33.wav,"""How many tickles does it take to tickle an octopus? Ten-tickles!"""
Joke_34.wav,"""Toasters were the first form of pop-up notifications."""
Joke_35.wav,"""Leather is great for sneaking around because it's made of hide."""
Joke_36.wav,"""Where do rabbits go after they get married? On a bunny-moon."""
Joke_37.wav,"""Why was ten scared of seven? Because seven ate nine."""
Joke_38.wav,"""Milk is also the fastest liquid on earth – its pasteurized before you even see it"""
Joke_40.wav,"""Just read a few facts about frogs. They were ribbiting."""
Joke_41.wav,"""Why do ducks make great detectives? They always quack the case."""
Joke_42.wav,"""Why did the girl smear peanut butter on the road? To go with the traffic jam."""
Joke_45.wav,"""What do you call a gorilla wearing headphones? Anything you'd like, it can't hear you."""
Joke_47.wav,"""I went to the doctor today and he told me I had type A blood but it was a type O."""
Joke_49.wav,"""My friend said to me: ""What rhymes with orange"" I said: ""no it doesn't"""""
Joke_50.wav,"""Did you hear about the campsite that got visited by Bigfoot? It got in tents."""
Joke_51.wav,"""What do you call a dictionary on drugs? High definition."""
Joke_52.wav,"""I hate perforated lines, they're tearable."""
Joke_54.wav,"""I don't trust sushi, there's something fishy about it."""
Joke_55.wav,"""I gave my friend 10 puns hoping that one of them would make him laugh. Sadly, no pun in ten did."""
Joke_56.wav,"""What do you call an alligator in a vest? An in-vest-igator!"""
Joke_57.wav,"""A man is washing the car with his son. The son asks...... ""Dad, can’t you just use a sponge?"""""
Joke_58.wav,"""So, I heard this pun about cows, but it’s kinda offensive so I won’t say it. I don’t want there to be any beef between us. """
Joke_60.wav,"""Last night me and my girlfriend watched three DVDs back to back. Luckily I was the one facing the TV."""
Joke_61.wav,"""What's brown and sticky? A stick."""
Joke_62.wav,"""What do you call a magician who has lost their magic? Ian."""
Joke_64.wav,"""What’s brown and sounds like a bell? Dung!"""
Joke_66.wav,"""What's the worst thing about ancient history class? The teachers tend to Babylon."""
Joke_68.wav,"""What did Romans use to cut pizza before the rolling cutter was invented? Lil Caesars"""
Joke_69.wav,"""What do you call a dad that has fallen through the ice? A Popsicle."""
Joke_71.wav,"""I ordered a chicken and an egg from Amazon. I'll let you know."""
Joke_72.wav,"""I accidentally took my cats meds last night. Don’t ask meow."""
Joke_73.wav,"""It takes guts to be an organ donor."""
Joke_74.wav,"""Why do valley girls hang out in odd numbered groups? Because they can't even."""
Joke_76.wav,"""I knew i shouldn’t have ate that seafood. Because now i’m feeling a little… Eel"""
Joke_78.wav,"""Some people say that I never got over my obsession with Phil Collins. But take a look at me now."""
Joke_83.wav,"""Have you heard about corduroy pillows?  They're making headlines!"""
Joke_85.wav,"""I am terrified of elevators. I’m going to start taking steps to avoid them."""
Joke_87.wav,"""Where do cats write notes? Scratch Paper!"""
Joke_90.wav,"""I just wrote a book on reverse psychology. Do not read it!"""
Joke_92.wav,"""Why did the melons plan a big wedding? Because they cantaloupe!"""
Joke_93.wav,"""Why did the octopus beat the shark in a fight? Because it was well armed."""
Joke_95.wav,"""I used to work for a soft drink can crusher. It was soda pressing."""
Joke_99.wav,"""Why is no one friends with Dracula? Because he's a pain in the neck."""
Joke_100.wav,"""The first time I got a universal remote control I thought to myself, ""This changes everything"""""
Joke_101.wav,"""I’ve just been reading a book about anti-gravity, it’s impossible to put down!"""
Joke_102.wav,"""My wife told me to rub the herbs on the meat for better flavor. That's sage advice."""
Joke_103.wav,"""Remember, the best angle to approach a problem from is the ""try"" angle."""
Joke_104.wav,"""What do you call a fat psychic? A four-chin teller."""
Joke_105.wav,"""A beekeeper was indicted after he confessed to years of stealing at work. They charged him with emBEEzlement"""
Joke_106.wav,"""How do you tell the difference between a crocodile and an alligator? You will see one later and one in a while."""
Joke_108.wav,"""Where do young cows eat lunch? In the calf-ateria."""
Joke_109.wav,"""Why are fish so smart? Because they live in schools!"""
Joke_110.wav,"""It’s hard to explain puns to kleptomaniacs, because they take everything literally."""
Joke_111.wav,"""When you have a bladder infection, urine trouble."""
Joke_112.wav,"""Why does a Moon-rock taste better than an Earth-rock? Because it's a little meteor."""
Joke_113.wav,"""Why does Norway have barcodes on their battleships? So when they get back to port, they can Scandinavian."""
Joke_114.wav,"""What does a pirate pay for his corn? A buccaneer!"""
Joke_115.wav,"""Man, I really love my furniture... me and my recliner go way back."""
Joke_116.wav,"""Did you hear the one about the giant pickle?  He was kind of a big dill."""
Joke_117.wav,"""Why did the kid cross the playground? To get to the other slide."""
Joke_118.wav,"""What do you do on a remote island? Try and find the TV island it belongs to."""
Joke_119.wav,"""Don't buy flowers at a monastery. Because only you can prevent florist friars."""
Joke_121.wav,"""Whats a penguins favorite relative? Aunt Arctica."""
Joke_123.wav,"""Why doesn't the Chimney-Sweep call out sick from work? Because he's used to working with a flue."""
Joke_125.wav,"""Did you hear about the new restaurant on the moon? The food is great, but there’s just no atmosphere."""
Joke_126.wav,"""Me and my mates are in a band called Duvet. We're a cover band."""
Joke_128.wav,"""When do doctors get angry? When they run out of patients."""
Joke_129.wav,"""How does a scientist freshen their breath? With experi-mints!"""
Joke_130.wav,"""What cheese can never be yours? Nacho cheese."""
Joke_132.wav,"""When is a door not a door? When it's ajar."""
Joke_134.wav,"""What did the late tomato say to the early tomato? I’ll ketch up"""
Joke_135.wav,"""Why was the robot angry? Because someone kept pressing his buttons!"""
Joke_136.wav,"""What concert costs only 45 cents? 50 cent featuring Nickelback."""
Joke_138.wav,"""It's difficult to say what my wife does, she sells sea shells by the sea shore."""
Joke_140.wav,"""Did you hear the one about the guy with the broken hearing aid? Neither did he."""
Joke_141.wav,"""Some people eat light bulbs. They say it's a nice light snack."""
Joke_142.wav,"""I met this girl on a dating site and, I don't know, we just clicked."""
Joke_143.wav,"""Why did the teddy bear say “no” to dessert? Because she was stuffed."""
Joke_144.wav,"""Every morning when I go out, I get hit by bicycle. Every morning!  It's a vicious cycle."""
Joke_145.wav,"""Scientists finally did a study on forks. It's about tine!"""
Joke_147.wav,"""Is there a hole in your shoe? No… Then how’d you get your foot in it?"""
Joke_148.wav,"""Ever wondered why bees hum? It's because they don't know the words."""
Joke_149.wav,"""Why do cows not have toes? They lactose!"""
Joke_150.wav,"""When people are sad, I sometimes let them colour in my tattoos. Sometimes all they need is a shoulder to crayon."""
Joke_151.wav,"""What did the digital clock say to the grandfather clock? Look, no hands!"""
